!
! This is a small development reaction network from UCLCHEM; it includes a minimal amount of species on the ices + UMIST 22 reactions.
! This reaction network has NOT been verified for anything scientific, so it comes with NO warranty on the correctness of the reaction network.
! Produced using UCLCHEM v3.5.1 on 30-07-2025 by Gijs Vermariën
! Notation of species (molecules) in UCLCHEM: @ is bulk of the ice (not so reactive), # is the surface of the ice (reactive) and no prefix is gas phase.
! Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Product 4,Alpha,Beta,Gamma,T_min,T_max,reduced_mass,extrapolate
H2O+,CO,NAN,HCO+,OH,NAN,NAN,5e-10,0.0,0.0,10.0,41000.0,0.0,False
H2O+,H2O,NAN,H3O+,OH,NAN,NAN,2.1e-09,-0.5,0.0,10.0,41000.0,0.0,False
H2O+,HCO,NAN,CO,H3O+,NAN,NAN,2.8e-10,-0.5,0.0,10.0,41000.0,0.0,False
H3+,E-,NAN,H2,H,NAN,NAN,2.34e-08,-0.52,0.0,10.0,1000.0,0.0,False
H3+,E-,NAN,H,H,H,NAN,4.36e-08,-0.52,0.0,10.0,1000.0,0.0,False
H3+,C,NAN,CH+,H2,NAN,NAN,2e-09,0.0,0.0,10.0,41000.0,0.0,False
H3+,CH2,NAN,CH3+,H2,NAN,NAN,1.7e-09,0.0,0.0,10.0,41000.0,0.0,False
H3+,CH3,NAN,CH4+,H2,NAN,NAN,2.1e-09,0.0,0.0,10.0,41000.0,0.0,False
H3+,CH4,NAN,CH5+,H2,NAN,NAN,2.4e-09,0.0,0.0,10.0,41000.0,0.0,False
H3+,CH,NAN,CH2+,H2,NAN,NAN,1.2e-09,-0.5,0.0,10.0,41000.0,0.0,False
H3+,CO,NAN,HCO+,H2,NAN,NAN,1.36e-09,-0.14,-3.4,10.0,400.0,0.0,False
H3+,H2O,NAN,H3O+,H2,NAN,NAN,5.9e-09,-0.5,0.0,10.0,41000.0,0.0,False
H3+,MG,NAN,MG+,H2,H,NAN,1e-09,0.0,0.0,10.0,41000.0,0.0,False
H3+,O,NAN,H2O+,H,NAN,NAN,2.08e-10,-0.4,4.86,10.0,1000.0,0.0,False
H3+,O,NAN,OH+,H2,NAN,NAN,4.65e-10,-0.14,0.67,10.0,1000.0,0.0,False
H3+,OH,NAN,H2O+,H2,NAN,NAN,1.3e-09,-0.5,0.0,10.0,41000.0,0.0,False
H3O+,E-,NAN,H2O,H,NAN,NAN,7.09e-08,-0.5,0.0,10.0,1000.0,0.0,False
H3O+,E-,NAN,O,H2,H,NAN,5.6e-09,-0.5,0.0,10.0,1000.0,0.0,False
H3O+,E-,NAN,OH,H2,NAN,NAN,5.37e-08,-0.5,0.0,10.0,1000.0,0.0,False
H3O+,E-,NAN,OH,H,H,NAN,3.05e-07,-0.5,0.0,10.0,1000.0,0.0,False
HCO,O2+,NAN,O2,HCO+,NAN,NAN,3.6e-10,-0.5,0.0,10.0,41000.0,0.0,False
HCO,HCO,NAN,CO,CO,H2,NAN,3.63e-11,0.0,0.0,303.0,376.0,0.0,False
HCO+,E-,NAN,CO,H,NAN,NAN,2.4e-07,-0.69,0.0,10.0,300.0,0.0,False
HE+,C,NAN,C+,HE,NAN,NAN,6.3e-15,0.75,0.0,10.0,300.0,0.0,False
HE+,CH4,NAN,CH4+,HE,NAN,NAN,5.1e-11,0.0,0.0,10.0,41000.0,0.0,False
HE+,CH,NAN,CH+,HE,NAN,NAN,5e-10,-0.5,0.0,10.0,41000.0,0.0,False
HE+,H2O,NAN,H2O+,HE,NAN,NAN,6.05e-11,-0.5,0.0,10.0,41000.0,0.0,False
HE+,O2,NAN,O2+,HE,NAN,NAN,3.3e-11,0.0,0.0,10.0,41000.0,0.0,False
HE+,CH2,NAN,C+,HE,H2,NAN,7.5e-10,0.0,0.0,10.0,41000.0,0.0,False
HE+,CH2,NAN,CH+,HE,H,NAN,7.5e-10,0.0,0.0,10.0,41000.0,0.0,False
HE+,CH3,NAN,CH+,HE,H2,NAN,1.8e-09,0.0,0.0,10.0,41000.0,0.0,False
HE+,CH4,NAN,CH+,HE,H2,H,2.4e-10,0.0,0.0,10.0,41000.0,0.0,False
HE+,CH4,NAN,CH2+,HE,H2,NAN,9.5e-10,0.0,0.0,10.0,41000.0,0.0,False
HE+,CH4,NAN,CH3+,HE,H,NAN,8.5e-11,0.0,0.0,10.0,41000.0,0.0,False
HE+,CH4,NAN,CH3,HE,H+,NAN,4.8e-10,0.0,0.0,10.0,41000.0,0.0,False
HE+,CH,NAN,C+,HE,H,NAN,1.1e-09,-0.5,0.0,10.0,41000.0,0.0,False
HE+,CO,NAN,O,C+,HE,NAN,1.6e-09,0.0,0.0,10.0,41000.0,0.0,False
HE+,H2O,NAN,OH+,HE,H,NAN,2.86e-10,-0.5,0.0,10.0,41000.0,0.0,False
HE+,H2O,NAN,OH,HE,H+,NAN,2.04e-10,-0.5,0.0,10.0,41000.0,0.0,False
HE+,HCO,NAN,CO+,HE,H,NAN,4.9e-10,-0.5,0.0,10.0,41000.0,0.0,False
HE+,HCO,NAN,O,CH+,HE,NAN,4.9e-10,-0.5,0.0,10.0,41000.0,0.0,False
HE+,O2,NAN,O+,O,HE,NAN,1.1e-09,0.0,0.0,10.0,41000.0,0.0,False
HE+,OH,NAN,O+,HE,H,NAN,1.1e-09,-0.5,0.0,10.0,41000.0,0.0,False
HE+,E-,NAN,HE,PHOTON,NAN,NAN,5.36e-12,-0.5,0.0,10.0,1000.0,0.0,False
MG,HCO+,NAN,HCO,MG+,NAN,NAN,2.9e-09,0.0,0.0,10.0,41000.0,0.0,False
MG,O2+,NAN,O2,MG+,NAN,NAN,1.2e-09,0.0,0.0,10.0,41000.0,0.0,False
MG+,E-,NAN,MG,PHOTON,NAN,NAN,2.78e-12,-0.68,0.0,10.0,1000.0,0.0,False
O,CO+,NAN,CO,O+,NAN,NAN,1.4e-10,0.0,0.0,10.0,41000.0,0.0,False
O,CH4+,NAN,OH,CH3+,NAN,NAN,1e-09,0.0,0.0,10.0,41000.0,0.0,False
O,CH5+,NAN,H3O+,CH2,NAN,NAN,2.2e-10,0.0,0.0,10.0,41000.0,0.0,False
O,H2O+,NAN,O2+,H2,NAN,NAN,4e-11,0.0,0.0,10.0,41000.0,0.0,False
O,OH+,NAN,O2+,H,NAN,NAN,7.1e-10,0.0,0.0,10.0,41000.0,0.0,False
O,CH4,NAN,OH,CH3,NAN,NAN,2.29e-12,2.2,3820.0,298.0,2500.0,0.0,False
O,H2O,NAN,OH,OH,NAN,NAN,1.85e-11,0.95,8571.0,300.0,2500.0,0.0,False
O,HCO,NAN,CO,OH,NAN,NAN,5e-11,0.0,0.0,10.0,2500.0,0.0,False
O,OH,NAN,O2,H,NAN,NAN,3.69e-11,-0.27,12.9,10.0,500.0,0.0,False
O,O,NAN,O2,PHOTON,NAN,NAN,4.9e-20,1.58,0.0,10.0,300.0,0.0,False
O+,CH4,NAN,CH4+,O,NAN,NAN,8.9e-10,0.0,0.0,10.0,41000.0,0.0,False
O+,CO,NAN,CO+,O,NAN,NAN,4.9e-12,0.5,4580.0,2000.0,10000.0,0.0,False
O+,H2O,NAN,H2O+,O,NAN,NAN,3.2e-09,-0.5,0.0,10.0,41000.0,0.0,False
O+,HCO,NAN,HCO+,O,NAN,NAN,4.3e-10,-0.5,0.0,10.0,41000.0,0.0,False
O+,O2,NAN,O2+,O,NAN,NAN,1.9e-11,0.0,0.0,10.0,41000.0,0.0,False
O+,OH,NAN,OH+,O,NAN,NAN,3.6e-10,-0.5,0.0,10.0,41000.0,0.0,False
O+,CH4,NAN,OH,CH3+,NAN,NAN,1.1e-10,0.0,0.0,10.0,41000.0,0.0,False
O+,HCO,NAN,CO,OH+,NAN,NAN,4.3e-10,-0.5,0.0,10.0,41000.0,0.0,False
O+,OH,NAN,O2+,H,NAN,NAN,3.6e-10,-0.5,0.0,10.0,41000.0,0.0,False
O+,E-,NAN,O,PHOTON,NAN,NAN,3.24e-12,-0.66,0.0,10.0,41000.0,0.0,False
O2+,E-,NAN,O,O,NAN,NAN,1.95e-07,-0.7,0.0,10.0,300.0,0.0,False
OH,CO+,NAN,CO,OH+,NAN,NAN,3.1e-10,-0.5,0.0,10.0,41000.0,0.0,False
OH,CH5+,NAN,H2O+,CH4,NAN,NAN,7e-10,-0.5,0.0,10.0,41000.0,0.0,False
OH,CO+,NAN,HCO+,O,NAN,NAN,3.1e-10,-0.5,0.0,10.0,41000.0,0.0,False
OH,H2O+,NAN,H3O+,O,NAN,NAN,6.9e-10,-0.5,0.0,10.0,41000.0,0.0,False
OH,HCO+,NAN,CO,H2O+,NAN,NAN,6.2e-10,-0.5,0.0,10.0,41000.0,0.0,False
OH,HCO,NAN,CO,H2O,NAN,NAN,1.7e-10,0.0,0.0,10.0,2500.0,0.0,False
OH,OH,NAN,H2O,O,NAN,NAN,1.65e-12,1.14,50.0,200.0,2500.0,0.0,False
OH+,H2O,NAN,H2O+,OH,NAN,NAN,1.59e-09,-0.5,0.0,10.0,41000.0,0.0,False
OH+,HCO,NAN,HCO+,OH,NAN,NAN,2.8e-10,-0.5,0.0,10.0,41000.0,0.0,False
OH+,O2,NAN,O2+,OH,NAN,NAN,5.9e-10,0.0,0.0,10.0,41000.0,0.0,False
OH+,E-,NAN,O,H,NAN,NAN,3.75e-08,-0.5,0.0,10.0,300.0,0.0,False
OH+,CO,NAN,HCO+,O,NAN,NAN,1.05e-09,0.0,0.0,10.0,41000.0,0.0,False
OH+,H2O,NAN,H3O+,O,NAN,NAN,1.3e-09,-0.5,0.0,10.0,41000.0,0.0,False
OH+,HCO,NAN,CO,H2O+,NAN,NAN,2.8e-10,-0.5,0.0,10.0,41000.0,0.0,False
OH+,OH,NAN,H2O+,O,NAN,NAN,7e-10,-0.5,0.0,10.0,41000.0,0.0,False
